id,image,name,team,edition,ability,firstNightReminder,otherNightReminder,reminders,remindersGlobal,firstNight,otherNight,flavor,note
allan_barbieontheclocktower123dgeewes,,엘런,townsfolk,barbie,당신과 이웃한 가장 가까운 켄들은 당신과 그들 사이에 악팀이 있지 않는 한 죽을 수 없습니다.,,,보호됨,,,,,
anotherken_barbieontheclocktower123dgeewes,,또 다른 켄,townsfolk,barbie,"게임 중 한번, 한 캐릭터를 골라 뜨거운 해변가에서의 승부를 벌입니다. 해당 참가자가 악팀이라면 사망하며, 선 참가자라면 당신이 사망합니다.","능력을 사용할지 물어보세요. 사용하길 원한다면, 참가자 한 명을 선택하도록 합니다. 다른 정보는 알려주지 마세요. 선한 참가자를 선택했다면, 그들은 밤에 죽습니다. 악한 참가자를 선택했다면, 그 악한 참가자가 밤에 죽습니다.","능력을 사용할지 물어보세요. 사용하길 원한다면, 참가자 한 명을 선택하도록 합니다. 다른 정보는 알려주지 마세요. 선한 참가자를 선택했다면, 그들은 밤에 죽습니다. 악한 참가자를 선택했다면, 그 악한 참가자가 밤에 죽습니다.
","해변가 승부, 능력 없음",,,,,
beach_barbieontheclocktower123dgeewes,,해변가,minion,barbie,매일 밤 참가자 한명을 고릅니다. 해당 참가자는 황혼까지 산만해집니다.,"참가자가 누군가를 선택하면 그 사람은 산만해집니다. 해당 참가자에게 산만함 토큰을 추가하세요.
","참가자가 누군가를 선택하면 그 사람은 산만해집니다. 해당 참가자에게 산만함 토큰을 추가하세요.
",산만함,,,,,
bratz_barbieontheclocktower123dgeewes,,브랫츠,minion,barbie,"매일 밤* 4명의 참가자를 고릅니다. 만약 네명 모두 다음 날 처형에 투표한다면, 넷 중 한명이 처형됩니다.",,"브라츠를 깨워서 4명의 참가자를 선택하도록 하세요. 알림으로 이 참가자들에게 ""선택된"" 브라츠 토큰을 놓으세요.
","선택됨, 선택됨, 선택됨, 선택됨, 투표함, 투표함, 투표함, 투표함, 처형됨",,,,,
colinfirth_barbieontheclocktower123dgeewes,,콜린 퍼스,,barbie,당신과 이웃하는 참가자 중 한명 또는 둘 다 산만해질 수 있습니다.,,,산만,,,,,
cripplinganxiety_barbieontheclocktower123dgeewes,,극심한 불안,,barbie,당신은 가부장제가 게임에 존재하는지 여부를 알고 게임을 시작합니다,예/아니오로 가부장제가 게임에 있는지 알려주세요,,,,,,,
deaththoughts_barbieontheclocktower123dgeewes,,떨쳐낼 수 없는 죽음에 대한 생각,,barbie,"매일 밤* 세 명까지 참가자를 고릅니다. 선택한 각 참가자별로 사회자는 동전을 던집니다. 앞면이 나올 경우 살고, 뒷면이 나올 경우 죽습니다.",,"""죽음""이 3명의 참가자를 선택하면 다시 잠들게 합니다. 스토리텔러는 비밀리에 (동전 던지기 등을 통해) 선택된 각 참가자의 생사를 결정합니다. 살아남는다면 죽음은 그 밤에 해당 참가자에게 아무 영향도 주지 않았던 것입니다.","선택됨, 승리, 승리, 승리, 패배, 패배, 패배",,,,,
diplomatbarbie_barbieontheclocktower123dgeewes,,외교관 바비,,barbie,"밤에 죽는다면 바비, 켄, 외지인, 하수인, 악마를 각각 한명씩 지명받습니다.",,"외교관 바비가 밤 단계에서 죽었다면, 그들을 깨우고 5개의 이름을 알려주세요. 이 이름들은 각각 바비, 켄, 아웃사이더, 하수인, 악마 중 하나입니다. 어떤 이름이 어떤 역할인지는 알려주지 마세요. 스토리텔러의 재량에 따라 죽은 참가자의 이름도 포함될 수 있습니다.
","바비, 켄, 외지인, 하수인, 악마",,,,,
gloria_barbieontheclocktower123dgeewes,,글로리아,,barbie,매일 밤*에 낮동안 살아있고 이웃한 참가자 두명과 모두 밀담을 나누었다면 해당 참가자들이 모두 마을주민인지 여부를 알게 됩니다.,,"글로리아가 낮 단계에서 자신의 살아있는 양 옆 이웃과 개별적으로 대화를 나눴다면, 글로리아를 깨우고 두 참가자가 모두 마을주민인지 여부를 예/아니오로 알려주세요.
",대화함,,,,,
helenmirren_barbieontheclocktower123dgeewes,,헬렌 미렌,,barbie,"매일 밤* 당신 이외의 참가자를 지명하고, 보호할지 처형할지 결정합니다. 타 참가자들은 이에 대해 투표를 진행하나, 보호인지 처형인지 여부는 모릅니다.
당신이 악마를 지명한다면, 악마는 당신이 누군지 알게 됩니다. 능력 발동이 3회 실패하면 당신은 죽습니다. (투표를 3회 실패하면)",,"참가자에게 능력을 사용할지 물어보세요. 사용하길 원한다면, 누구를 선택할지와 그 참가자를 처형할지 보호할지를 물어보세요. 스토리텔러는 그 후 다른 모든 참가자(죽은 캐릭터 포함)를 개별적으로 방문하여 단순히 그 참가자의 이름을 말하고 ""예/아니오"" 응답을 요청합니다. 과반수의 참가자가 ""예""라고 하면, 선택된 참가자는 원래 참가자의 결정에 따라 보호되거나 처형됩니다. 보호받은 경우, 다음날 해질녘까지 어떤 참가자도 그 참가자를 성공적으로 타겟팅할 수 없습니다. 보호된 경우 해당 참가자에게 ""보호됨"" 토큰을 추가하세요.
","실패 1, 실패 2, 실패 3, 보호됨, 처형됨",,,,,
internettroll_barbieontheclocktower123dgeewes,,인터넷 트롤,,barbie,매일 밤* 2명의 참가자를 고릅니다. 두 참가자 중 한명 또는 둘 다 상심합니다. 당신은 악 팀이 누군지 모르고 게임을 시작합니다.,,"트롤에게 2명의 참가자를 선택하도록 하세요. 스토리텔러는 (자신의 재량으로) 선택된 참가자들 중 한 명 또는 둘 모두에게 상심을 줄지 결정합니다. 한 명에게만 준다면, 누구에게 줄지도 결정합니다. 해당 참가자(들)에게 트롤 상심 토큰을 추가하세요.
",상심,,,,,
justken_barbieontheclocktower123dgeewes,,그냥 켄,,barbie,"양옆에 앉은 바비가 밤에 죽으면, 당신이 대신 죽을 수 있습니다. 고정관념적 바비가 살아있는 동안에는 당신이 처형될 수 없습니다. 고정관념적 바비가 밤에 사망하면, 당신은 자신이 누구인지 잊고 기억상실자가 됩니다.",,"고정관념적 바비가 밤 단계에서 죽었다면, ""그냥 켄""을 깨워서 그가 자신의 정체성을 잃고 기억상실자가 되었음을 알립니다. 직후 새로운 능력의 기억상실자로 취급합니다.",능력없음,,,,,
kenagain_barbieontheclocktower123dgeewes,,돌아온 켄,,barbie,매일 공개적으로 사랑 / 브로맨스를 3명의 참가자에게 선언합니다. 그날 밤 해당 참가자 중 몇명이 바비/켄이였는지 알게 됩니다.,,"켄을 깨우고 선택한 참가자들 중 몇 명이 바비/켄인지 알려주세요(1,2,3) - 그들이 바비 또는 켄 중 어느 쪽을 선언했는지 기억하세요.
","켄 선택됨, 바비 선택됨",,,,,
mattelceo_barbieontheclocktower123dgeewes,,마텔 CEO,,barbie,"당신은 선팀 마을주민으로 인식됩니다. 악마가 죽는다면 당신이 악마가 되며, 더이상 선팀으로 인식되지 않습니다.
당신이 악마가 된 이후로 처형이 발생되지 않을 시, 악팀이 승리합니다.",,,악마임,,,,,
midgesbaby_barbieontheclocktower123dgeewes,,밋지의 아기,,barbie,당신은 게임에 참가하지 않은 하수인이나 마을주민의 능력을 얻습니다. (초기 설정 불가),,,,,,,,
mojodojocasa_barbieontheclocktower123dgeewes,,모조 도조 카사 하우스,,barbie,당신이 사망한다면 살아있는 켄 중 한명은 상심합니다.,,,상심,,,,,
pregnantmidge_barbieontheclocktower123dgeewes,,임신한 밋지,,barbie,"다른 사람에게 지정될 경우 (지명, 능력 등) 당신은 출산하며, 밋지의 아기가 됩니다. 당신이 처형된다면 죽지 않으며, 그날 밤 밋지의 아기가 됩니다. 밋지의 아기는 당신을 지정한 캐릭터의 진영으로 태어납니다.",,"밋지가 낮 단계에서 처형 후보로 지명되었거나 밤 단계에서 다른 참가자에 의해 선택되었다면, 밋지를 깨우고 이제 ""아기""가 되었음을 알려주세요. 해당 참가자에게 ""아기"" 알림 토큰을 추가하세요. 밋지를 선택한 참가자의 진영에 따라 하수인이나 마을주민 역할을 부여하세요. 앞으로의 밤에는 새로운 능력에 따라 깨어날 것입니다. 임신한 밋지가 지명되거나 선택되지 않았다면, 밤에 깨우지 않습니다. 만약 악한 아기가 된다면, 악마를 깨워서 새로운 하수인이 생겼음을 알립니다. 악마는 새로운 하수인이 누구인지 모릅니다. 악한 아기는 악한 팀의 누구도 알지 못합니다.
",아기,,,,,
presidentbarbie_barbieontheclocktower123dgeewes,,대통령 바비,,barbie,매일 밤 어제와 다른 참가자를 고릅니다. 해당 참가자의 투표는 두배로 계산됩니다.,"이 참가자를 깨우고 참가자 한 명을 선택하도록 하세요(이전 밤에 선택했던 참가자와 달라야 합니다). 선택된 참가자에게 ""투표권 x2"" 알림 토큰을 추가하세요.
","이 참가자를 깨우고 참가자 한 명을 선택하도록 하세요(이전 밤에 선택했던 참가자와 달라야 합니다). 선택된 참가자에게 ""투표권 x2"" 알림 토큰을 추가하세요.
",투표권 x2,,,,,
ruthhandler_barbieontheclocktower123dgeewes,,루스 핸들러,,barbie,게임 내 몇명의 바비가 있는지 알고 게임을 시작합니다.,"참가자에게 게임에 등장하는 ""바비"" 캐릭터의 수를 알려주세요(임신한 미지 포함)
",,,,,,,
stereotypicalb_barbieontheclocktower123dgeewes,,고정관념적 바비,,barbie,매일 밤* 참가자를 고릅니다. 선택한 참가자의 살아있는 이웃 중 그 참가자의 캐릭터와 같은 타입이 몇명인지 알게 됩니다.,"참가자 한 명을 선택하도록 하세요. 선택된 참가자의 옆자리에 같은 캐릭터 유형(마을주민/아웃사이더/하수인/악마)의 참가자가 0, 1, 2명 앉아있는지 알려주세요.
","참가자 한 명을 선택하도록 하세요. 선택된 참가자의 옆자리에 같은 캐릭터 유형(마을주민/아웃사이더/하수인/악마)의 참가자가 0, 1, 2명 앉아있는지 알려주세요.
","생존, 선택됨",,,,,
sugar_barbieontheclocktower123dgeewes,,슈가,,barbie,"악팀은 게임 당 한번 슈가가 누군지 선언할 수 있습니다. 만약 악이 성공적으로 선언한다면, 악팀은 이깁니다.
만약 슈가대디가 맞춘다면, 선 팀이 이깁니다. 당신이 죽는다면 다른 참가자가 슈가가 되며, 해당 참가자는 산만해집니다.
악팀은 당신이 게임에 포함되었는지 여부를 알지 못하고 시작합니다 [+1 슈가대디]",,,슈가임,,,,,
sugarsdaddy_barbieontheclocktower123dgeewes,,슈가대디,,barbie,"게임 중 한번, 한 캐릭터를 고릅니다. 해당 참가자가 슈가라면 당신의 팀은 승리합니다. 당신은 슈가가 될 수 없습니다. (+1 슈가)",,,"선택됨, 능력없음",,,,,
thepatriarchy_barbieontheclocktower123dgeewes,,가부장제,,barbie,"매일 밤* 참가자 한명을 고릅니다. 해당 참가자는 사망합니다.
투표를 진행할 때 켄의 투표가 과반수를 차지한다면 악팀이 승리합니다. 이 능력은 5명 미만의 참가자만 살아있을 시 사라집니다 [+1 켄]",,"가부장제를 깨워서 누구를 죽일지 물어보세요. 그 참가자는 죽습니다.
","투표함, 투표함, 투표함, 투표함, 투표함, 투표함, 투표함, 투표함, 투표함, 투표함",,,,,
theportal_barbieontheclocktower123dgeewes,,포탈,,barbie,"매일 밤 두명의 참가자를 선택합니다. 둘 중 한명이 외지인이라면, 두 참가자는 서로 역할을 바꿉니다 [+1 외지인]","2명의 참가자를 선택하세요. 선택된 참가자 중 한 명이 아웃사이더라면, 스토리텔러는 그 참가자들의 역할을 바꿉니다. 포털은 자신이 성공적으로 바꾸었는지 알지 못합니다.","2명의 참가자를 선택하세요. 선택된 참가자 중 한 명이 아웃사이더라면, 스토리텔러는 그 참가자들의 역할을 바꿉니다. 포털은 자신이 성공적으로 바꾸었는지 알지 못합니다.
",선택됨,,,,,
therealworld_barbieontheclocktower123dgeewes,,현실 세계,,barbie,"사회자 재량으로 모든 죽음을 결정합니다. 모든 하수인은 '현실 세계'로 취급되며, 선팀의 승리 조건은 '모든 현실세계의 사망'으로 바뀝니다 [+1 하수인]",,"누군가를 죽이기 위해 참가자를 선택하세요. 어떤 캐릭터도 깨울 필요가 없습니다. 현재 생존해 있는 ""리얼 월드"" 수만큼 최대 참가자를 죽일 수 있습니다. 죽을 참가자의 수와 누가 죽을지는 스토리텔러의 재량입니다.","현실 세계, 현실 세계, 현실 세계, 현실 세계",,,,,
weirdbarbie_barbieontheclocktower123dgeewes,,이상한 바비,,barbie,"당신이 살아있는 한, 모든 바비의 능력은 제대로 작동합니다. (제대로 작동하면 안되더라도)",,,"생존, 능력 없음",,,,,
po,,포,demon,bmr,"매일 밤*, 참가자 한 명을 선택해 죽일 수 있습니다. 지난 밤에 아무도 선택하지 않았다면, 오늘 밤 세 명을 선택해 죽일 수 있습니다.",,"포가 전날 밤에 아무도 선택하지 않았다면: 포가 세 명의 참가자를 가리킵니다. 그렇지 않다면: 포가 '아니오' 머리 신호를 보이거나, 참가자를 가리킵니다. 선택된 참가자들은 죽습니다.","사망, 사망, 사망, 3번 공격",,,,"꽃 한송이 줄테니까, 나랑 있어주면 안될까...?",
pukka,,푸카,demon,bmr,"매일 밤, 참가자 한 명을 선택해 중독시킵니다. 이전에 당신에게 중독된 참가자는 사망하고, 중독이 풀립니다.",푸카가 참가자를 가리킵니다. 그 참가자는 중독됩니다.,푸카가 참가자를 가리킵니다. 그 참가자는 중독됩니다. 이전에 중독된 참가자는 죽습니다.,"중독, 중독, 사망",,,,"이렇게 아름다운 집에 저를 친절히 맞아주시다니 정말 감사합니다. 아 방금 실수로 긁어서 정말 죄송합니다만, 작은 상처일 뿐이니 걱정 마세요. 이 금으로 만든 이쑤시개를 제 사과의 의미로 받아주시겠어요?",
shabaloth,,샤발로스,demon,bmr,"매일 밤*, 2명의 참가자를 선택해 삼켜 죽입니다. 어젯밤에 죽인 참가자 중 한 명이 토해져 다시 살아날 수도 있습니다.",,샤발로스가 전날 밤에 선택한 참가자 한 명이 부활할 수 있습니다. 샤발로스가 두 명의 참가자를 가리킵니다. 그 참가자들은 죽습니다.,"사망, 사망, 생존",,,,블라르그 프타아그 늠 마타안! 노 쇼 굼타 음시크 나 유우. 플루우르그 흐-시크크.,
zombuul,,좀부울,demon,bmr,"매일 밤*, 낮에 아무도 죽지 않았다면 한 명을 선택해 죽입니다. 당신은 처음 죽을 때, 살아있지만 죽은 것으로 간주됩니다.",,낮 동안 아무도 죽지 않았다면: 좀부울이 참가자를 가리킵니다. 그 참가자는 죽습니다.,"오늘 사망, 사망",,,,나는... 이해할 수... 없다... 너희들을... 인간이여... 보여다오... 거룩한 자들이... 잠든... 그 땅을... 나도... 영원한 잠에... 들어야... 한다... 지금...,
assassin,,암살자,minion,bmr,"게임당 한 번, 밤에* 참가자 한 명을 선택할 수 있습니다. 어떤 보호 능력이 있더라도 그 참가자는 반드시 죽습니다.",,암살자가 아직 능력을 사용하지 않았다면: 암살자는 '아니오' 머리 신호를 보이거나 참가자를 가리킵니다. 그 참가자는 죽습니다.,"사망, 능력 없음",,,,...,
devilsadvocate,,악마의 대변인,minion,bmr,"매일 밤, 살아있는 참가자 1명(어제와 다른)을 선택합니다. 그는 내일 처형되더라도 죽지 않습니다.",악마의 대변인이 살아있는 참가자를 가리킵니다. 그 참가자는 내일 처형에서 살아남습니다.,악마의 대변인이 살아있는 참가자를 가리킵니다(전날 밤과 다른 사람). 그 참가자는 내일 처형에서 살아남습니다.,처형에서 생존,,,,"재판장님, 제 이의가 받아들여지지 않더라도 의뢰인의 무죄는 분명합니다. 검찰 측이 동사 활용에 관한 법령 27조 B항을 위반했으니까요. 어젯밤 배심원 아홉 명의 죽음은 일견 명백한 증거로 보일 것입니다. 하지만 윌스와 툴레의 역사적인 판결이 입증했듯이, 이처럼 자명해 보이는 증거야말로 제 의뢰인의 무죄를 방증하는 것이지요.",
godfather,,대부,minion,bmr,"현재 어떤 외지인들이 게임에 참여 중인지 알고 시작합니다. 만약 낮에 외지인이 죽으면, 그날 밤 한 명을 선택해 죽일 수 있습니다. [외지인 -1 또는 +1]",게임에 있는 각 외지인 토큰을 보여줍니다.,오늘 외지인이 죽었다면: 대부가 참가자를 가리킵니다. 그 참가자는 죽습니다.,"오늘 사망, 사망",,,,"보통은 그저 일일 뿐이지. 하지만 네가 내 딸을 모욕했다는 건, 곧 나를 모욕한 거야. 그리고 나를 모욕한다는 건, 우리 가문 전체를 모욕하는 거지. 좀 더 조심했어야지. 불운한 사고라도 당하면 안타까울 텐데 말이야.",
mastermind,,배후인물,minion,bmr,"악마가 처형으로 죽어도(게임의 종료), 하루를 더 진행합니다. 낮에 1명이 처형된다면, 처형된 사람의 진영이 패배합니다. ",,,,,,,괴물의 촉수가 교회 대문에 못박혔다. 어머니와 아이들이 거리에서 춤추고 있다. 완벽해. 모든 것이 내 계획대로 진행되고 있다.,
goon,,깡패,outsider,bmr,"매일 밤, 자신의 능력으로 당신을 선택하는 첫 번째 참가자는 내일 낮까지 취하며, 당신은 그 사람의 진영이 됩니다.",,,취함,,,,"예, 형님. 그 녀석한테 확실히 말해줬습죠. 더는 설명 안 해도 될 만큼이요. 아이고 형님, 의사고 뭐고 필요 없습니다. 그냥 칼에 찔린 것뿐인데요 뭐. 내일 아침이면 멀쩡할 겁니다요.",
lunatic,,미치광이,outsider,bmr,"당신은 자신이 악마라고 생각하지만, 그렇지 않습니다. 진짜 악마는 당신이 누구인지 알고, 당신이 밤에 누구를 선택하는 지 알고 있습니다.",7명 이상의 참가자가 있을 경우: 미치광이에게 게임 내 하수인 수와 동일한 수의 임의의 '하수인' 참가자들을 보여줍니다. 임의의 선한 캐릭터 토큰 3개도 보여줍니다. 만약 미치광이가 받은 토큰이 오늘 밤 깨어날 악마라면: 미치광이가 악마의 행동을 수행하도록 허용합니다. 미치광이의 '공격' 표시를 배치합니다. 진짜 악마를 깨웁니다. 악마에게 자신의 실제 캐릭터 토큰을 보여줍니다. 악마에게 미치광이 참가자가 누구인지 보여줍니다. 만약 미치광이가 참가자들을 공격했다면: 진짜 악마에게 표시된 각 참가자를 보여줍니다. 미치광이의 '공격' 표시를 모두 제거합니다.,"미치광이가 악마의 행동을 수행하도록 허용합니다. 미치광이의 '공격' 표시를 배치합니다. 만약 미치광이가 참가자들을 선택했다면: 진짜 악마를 깨웁니다. '공격' 표시를 보여준 다음, 표시된 각 참가자를 가리킵니다. 미치광이의 '공격' 표시를 모두 제거합니다.","공격1, 공격2, 공격3",,,,나는 어둠의 화신이다... 아마도.,
moonchild,,달의 아이,outsider,bmr,"자신이 죽었다는 사실을 알게 되면, 공개적으로 살아있는 참가자 1명을 선택합니다. 그가 선한 참가자라면, 오늘 밤 그는 죽습니다.",,"달의 아이가 오늘 능력을 사용해 참가자를 지명했다면: 그 참가자가 선하다면, 그들은 죽습니다.",사망,,,,"전갈자리가 연인들을 바라보니, 이제 선택의 시간이 왔구나. 내 손바닥에 은화를 얹으면 너의 운명을 밝혀주리라. 하지만 내 목에 검을 겨누면, 별들이 증인이 되어 너는 후회하게 되리라.",
tinker,,땜장이,outsider,bmr,당신은 언제든지 이유 없이 죽을 수 있습니다.,,땜장이가 죽을 수 있습니다.,사망,,,,문제가 뭔지 알 것 같아. 다행히 좋은 생각이 났어! 이 투석기를 살짝만 손보면 지금보다 두 배는 더 멀리 쏠 수 있을 텐데...,
chambermaid,,하녀,townsfolk,bmr,"매일 밤, 살아있는 참가자 2명(본인 제외)을 선택합니다. 그 중 몇 명이 그날 밤, 그들 자신의 능력으로 인해 일어났는지 알 수 있습니다.","하녀가 두 명의 참가자를 가리킵니다. 오늘 밤 그들의 능력으로 깨어난 참가자 수에 대한 숫자 신호(0, 1, 2, ...)를 보여줍니다.","하녀가 두 명의 참가자를 가리킵니다. 오늘 밤 그들의 능력으로 깨어난 참가자 수에 대한 숫자 신호(0, 1, 2, ...)를 보여줍니다.",,,,,"귀부인, 전 수상한 건 아무것도 보지 못했어요. 다만 감히 하나 말씀드리자면... 설령 제가 뭔가를 보았다 하더라도, 그게 어젯밤 열한시 무렵 주인님께서 교수님의 실험실에 몰래 들어가 수상한 물약을 제조하시는 장면이었을 리가 없지요. 물론... 귀부인께서 말씀하신 바로 그 일 말입니다.",
courtier,,궁정귀족,townsfolk,bmr,"게임당 한 번, 밤에 캐릭터를 선택할 수 있습니다. 해당 캐릭터는 그날 밤을 시작으로, 3번의 밤과 3번의 낮 동안 취합니다.","궁정 귀족은 '아니오' 머리 신호를 보이거나 시트의 캐릭터를 가리킵니다. 궁정 귀족이 능력을 사용했다면: 그 캐릭터가 게임에 있다면, 그 참가자는 술에 취합니다.","표시된 참가자가 중독된 남은 일수를 줄입니다. 궁정 귀족이 아직 능력을 사용하지 않았다면: 궁정 귀족은 '아니오' 머리 신호를 보이거나 시트의 캐릭터를 가리킵니다. 궁정 귀족이 능력을 사용했다면: 그 캐릭터가 게임에 있다면, 그 참가자는 술에 취합니다.","취함 3, 취함 2, 취함 1, 능력 없음",,,,"양 백 마리를 이끄는 사자 한 마리가, 사자 백 마리를 이끄는 양 한 마리보다 더 두렵다.",
exorcist,,구마사제,townsfolk,bmr,"매일 밤*, 어제와 다른 참가자 한 명을 선택합니다. 만약 악마가 선택되면, 악마는 당신의 정체를 알게 되고 오늘 밤 깨어날 수 없습니다. ",,퇴마사가 참가자를 가리킵니다(전날 밤과 다른 사람). 그 참가자가 악마라면: 악마를 깨웁니다. 퇴마사 토큰을 보여줍니다. 퇴마사를 가리킵니다. 악마는 오늘 밤 행동하지 않습니다.,선택,,,,"주 예수 그리스도의 이름과 권능으로 모든 불순한 영혼들과 사탄의 힘, 지옥의 적들과 그들의 군단, 모든 악마의 집단과 교단을 이 자리에서 추방하노라! 너희들에게 명하노니, 하나님의 교회와, 그분의 모습으로 창조되어 거룩한 어린양의 피로 구원받은 영혼들로부터 사라질지어다!",
fool,,어릿광대,townsfolk,bmr,"당신은 처음 죽을 때, 죽지 않습니다.",,,능력 없음,,,,그러자 폐하께서 '뭐라고?! 나는 크림 대포는커녕 고무 바지 한 벌도 가져본 적이 없다니까!' 하시는 거예요. 호호! 정말 즐거운 날이에요!,
gambler,,도박사,townsfolk,bmr,"매일 밤*, 참가자 1명을 선택하고 그의 캐릭터를 추측합니다. 추측이 틀리면, 당신은 죽습니다.",,"도박사가 참가자를 가리키고, 자신의 시트에서 캐릭터를 가리킵니다. 틀렸다면, 도박사가 죽습니다.",사망,,,,"앞면이 나오면 내가 이기고, 뒷면이 나오면 네가 진다.",
gossip,,험담꾼,townsfolk,bmr,"매일 낮, 공개 발언을 하나 할 수 있습니다. 만약 그 발언이 해당 시점에 사실이었다면, 오늘 밤 한명의 참가자가 죽습니다.",,험담꾼의 공개 성명이 사실이었다면: 오늘 밤 죽음으로부터 보호받지 않은 참가자 한 명을 선택합니다. 그 참가자는 죽습니다.,사망,,,,이러쿵저러쿵 어쩌고저쩌고 어쩌구저쩌구 우째구저째구 워쩌구저쩌구 어찌고저찌고. 어쩌고.,
grandmother,,할머니,townsfolk,bmr,"당신은 선한 참가자 한 명과 그의 캐릭터를 알고 시작합니다. 악마가 그 참가자를 죽이면, 당신도 함께 죽습니다.",표시된 캐릭터 토큰을 보여줍니다. 표시된 참가자를 가리킵니다.,할머니의 손주가 오늘 밤 악마에 의해 죽었다면: 할머니도 죽습니다.,손주,,,,"밖에 나갈 때는 외투 꼭 걸치고 가거라. 보온병도 챙기고, 목도리도 하고. 이 할미는 심장이 약하단다. 네가 감기라도 걸리거나... 더 큰 일이라도 생기면 어쩌면 좋으랴...",
innkeeper,,여관주인,townsfolk,bmr,"매일 밤*, 2명의 참가자를 선택합니다. 그들은 오늘 밤 죽지 않지만, 그 중 한명은 내일 낮까지 술에 취합니다.",,이전에 보호받고 술에 취했던 참가자들은 그 표시를 잃습니다. 여관주인이 두 명의 참가자를 가리킵니다. 그 참가자들은 보호받습니다. 한 명은 술에 취합니다.,"보호, 취함",,,,"어서 들어오시게나, 반가운 나그네여. 지친 몸을 쉬어가시오. 술도 마시고 즐기시게. 오늘 밤만큼은 어둠의 무리들이 당신을 괴롭히지 못할 테니.",
minstrel,,음유시인,townsfolk,bmr,"하수인이 처형으로 죽는다면, 여행자를 제외한 다른 모든 참가자들은 내일 낮까지 술에 취합니다.",,,모두 취함,,,,"내 무덤 위를 조용히 걷는 네 발자국 소리가 들릴 거야... 그리고 내 모든 꿈은 더욱 따뜻하고 달콤해질 거야... 네가 몸을 숙여 나를 사랑한다고 말해줄 테니... 난 그저 평화롭게 잠들어 있을게, 네가 올 때까지...",
pacifist,,평화주의자,townsfolk,bmr,"처형되는 참가자가 선하다면, 죽지 않을 수 있습니다. ",,,,,,,처벌하려는 욕망이 강한 자를 결코 믿지 마십시오.,
professor,,교수,townsfolk,bmr,"게임당 한 번, 밤에* 죽은 사람 하나를 선택할 수 있습니다. 그 사람이 마을 주민이라면 되살아납니다.",,"교수가 아직 능력을 사용하지 않았다면: 교수가 고개를 아니오로 젓거나, 참가자를 가리킵니다. 그 참가자가 마을 주민이라면, 그들은 이제 살아있습니다.","생존, 능력 없음",,,,"간단한 과정이에요. 수압 주입기를 개량된 기운 증폭장치에 연결하고, 특수 약물을 20CC 주입한 뒤, 생명력 수치를 20% 이상으로 유지하면 당신의 남편은 회복될 겁니다. 이제 우리에게 필요한 건 번개의 힘뿐이죠.",
sailor,,선원,townsfolk,bmr,"매일 밤, 살아있는 참가자 1명을 선택합니다. 오늘 밤부터 내일 낮까지 둘 중 한 명은 취합니다. 당신은 죽지 않습니다.",선원이 살아있는 참가자를 가리킵니다. 선원이나 선택된 참가자 중 하나가 술에 취합니다.,이전에 술에 취했던 참가자는 더 이상 술에 취하지 않습니다. 선원이 살아있는 참가자를 가리킵니다. 선원이나 선택된 참가자 중 하나가 술에 취합니다.,취함,,,,누구라도 좋으니 덤벼보시지! 이봐 수다쟁이! 이 몸과 한판 붙어볼 배짱은 있나? 없다고? 그럼 할매는 어떠신가? 올드 맥킬리표 특제 향신료 럼이란 걸 들어는 보셨나? 이거 한 잔이면 털보 사내가 된다니까! 배에 올라타시라!,
tealady,,찻집여인,townsfolk,bmr,"당신과 이웃한 살아있는 참가자 2명이 모두 선하다면, 그들은 죽지 않습니다.",,,사망 불가,,,,"차가운 이를 온화하게 해주고, 분노한 이를 진정시키며, 우울한 이를 기쁘게 하고, 들뜬 마음을 가라앉혀주는 것이 바로 차의 힘이지요.",
